variable_name,type,description
indret_ew,char,"Equal Weighted Industry Return"
indret_vw,char,"Value Weighted Industry Return"
nfirm,char,"The number of companies that belongs to the industry classification"
dpr,float,"Dividend Payout Ratio (dpr)"
PEG_trailing,float,"Trailing P/E to Growth (PEG) ratio (peg_trailing)"
bm,float,"Book/Market (bm)"
capei,float,"Shillers Cyclically Adjusted P/E Ratio (capei)"
divyield,float,"Dividend Yield (divyield)"
evm,float,"Enterprise Value Multiple (evm)"
pcf,float,"Price/Cash flow (pcf)"
pe_exi,float,"P/E (Diluted, Excl. EI) (pe_exi)"
pe_inc,float,"P/E (Diluted, Incl. EI) (pe_inc)"
pe_op_basic,float,"Price/Operating Earnings (Basic, Excl. EI) (pe_op_basic)"
pe_op_dil,float,"Price/Operating Earnings (Diluted, Excl. EI) (pe_op_dil)"
ps,float,"Price/Sales (ps)"
ptb,float,"Price/Book (ptb)"
efftax,float,"Effective Tax Rate (efftax)"
gprof,float,"Gross Profit/Total Assets (gprof)"
aftret_eq,float,"After-tax Return on Average Common Equity (aftret_eq)"
aftret_equity,float,"After-tax Return on Total Stockholders Equity (aftret_equity)"
aftret_invcapx,float,"After-tax Return on Invested Capital (aftret_invcapx)"
gpm,float,"Gross Profit Margin (gpm)"
npm,float,"Net Profit Margin (npm)"
opmad,float,"Operating Profit Margin After Depreciation (opmad)"
opmbd,float,"Operating Profit Margin Before Depreciation (opmbd)"
pretret_earnat,float,"Pre-tax Return on Total Earning Assets (pretret_earnat)"
pretret_noa,float,"Pre-tax return on Net Operating Assets (pretret_noa)"
ptpm,float,"Pre-tax Profit Margin (ptpm)"
roa,float,"Return on Assets (roa)"
roce,float,"Return on Capital Employed (roce)"
roe,float,"Return on Equity (roe)"
capital_ratio,float,"Capitalization Ratio (capital_ratio)"
equity_invcap,float,"Common Equity/Invested Capital (equity_invcap)"
debt_invcap,float,"Long-term Debt/Invested Capital (debt_invcap)"
totdebt_invcap,float,"Total Debt/Invested Capital (totdebt_invcap)"
invt_act,float,"Inventory/Current Assets (invt_act)"
rect_act,float,"Receivables/Current Assets (rect_act)"
fcf_ocf,float,"Free Cash Flow/Operating Cash Flow (fcf_ocf)"
ocf_lct,float,"Operating CF/Current Liabilities (ocf_lct)"
cash_debt,float,"Cash Flow/Total Debt (cash_debt)"
cash_lt,float,"Cash Balance/Total Liabilities (cash_lt)"
cfm,float,"Cash Flow Margin (cfm)"
short_debt,float,"Short-Term Debt/Total Debt (short_debt)"
profit_lct,float,"Profit Before Depreciation/Current Liabilities (profit_lct)"
curr_debt,float,"Current Liabilities/Total Liabilities (curr_debt)"
debt_ebitda,float,"Total Debt/EBITDA (debt_ebitda)"
dltt_be,float,"Long-term Debt/Book Equity (dltt_be)"
int_debt,float,"Interest/Average Long-term Debt (int_debt)"
int_totdebt,float,"Interest/Average Total Debt (int_totdebt)"
lt_debt,float,"Long-term Debt/Total Liabilities (lt_debt)"
lt_ppent,float,"Total Liabilities/Total Tangible Assets (lt_ppent)"
de_ratio,float,"Total Debt/Equity (de_ratio)"
debt_assets,float,"Total Debt/Total Assets (debt_assets)"
debt_at,float,"Total Debt/Total Assets (debt_at)"
debt_capital,float,"Total Debt/Capital (debt_capital)"
intcov,float,"After-tax Interest Coverage (intcov)"
intcov_ratio,float,"Interest Coverage Ratio (intcov_ratio)"
cash_conversion,float,"Cash Conversion Cycle (Days) (cash_conversion)"
cash_ratio,float,"Cash Ratio (cash_ratio)"
curr_ratio,float,"Current Ratio (curr_ratio)"
quick_ratio,float,"Quick Ratio (Acid Test) (quick_ratio)"
at_turn,float,"Asset Turnover (at_turn)"
inv_turn,float,"Inventory Turnover (inv_turn)"
pay_turn,float,"Payables Turnover (pay_turn)"
rect_turn,float,"Receivables Turnover (rect_turn)"
sale_equity,float,"Sales/Stockholders Equity (sale_equity)"
sale_invcap,float,"Sales/Invested Capital (sale_invcap)"
sale_nwc,float,"Sales/Working Capital (sale_nwc)"
accrual,float,"Accruals/Average Assets (accrual)"
RD_SALE,float,"Research and Development/Sales (rd_sale)"
adv_sale,float,"Avertising Expenses/Sales (adv_sale)"
staff_sale,float,"Labor Expenses/Sales (staff_sale)"
