public_date,gicdesc,NFIRM,indret_ew,indret_vw,PEG_1yrforward_Median,CAPEI_Median,bm_Median,PEG_ltgforward_Median,evm_Median,pe_op_basic_Median,pe_op_dil_Median,pe_exi_Median,pe_inc_Median,ps_Median,pcf_Median,dpr_Median,ptb_Median,PEG_trailing_Median,divyield_Median,efftax_Median,GProf_Median,aftret_eq_Median,aftret_equity_Median,aftret_invcapx_Median,gpm_Median,npm_Median,opmad_Median,opmbd_Median,pretret_earnat_Median,pretret_noa_Median,ptpm_Median,roa_Median,roce_Median,roe_Median,capital_ratio_Median,equity_invcap_Median,debt_invcap_Median,totdebt_invcap_Median,invt_act_Median,rect_act_Median,fcf_ocf_Median,ocf_lct_Median,cash_debt_Median,cash_lt_Median,cfm_Median,short_debt_Median,profit_lct_Median,curr_debt_Median,debt_ebitda_Median,dltt_be_Median,int_debt_Median,int_totdebt_Median,lt_debt_Median,lt_ppent_Median,de_ratio_Median,debt_assets_Median,debt_at_Median,debt_capital_Median,intcov_Median,intcov_ratio_Median,cash_conversion_Median,cash_ratio_Median,curr_ratio_Median,quick_ratio_Median,at_turn_Median,inv_turn_Median,pay_turn_Median,rect_turn_Median,sale_equity_Median,sale_invcap_Median,sale_nwc_Median,accrual_Median,rd_sale_Median,adv_sale_Median,staff_sale_Median
2010-01-31,Communication Services,52,-0.071969,-0.080035,-0.042,11.587,0.566,1.118,5.624,9.801,9.801,9.004,10.345,1.108,3.689,0.227,1.958,0.454,7.25%,0.371,0.277,0.001,-0.001,0.033,0.582,0.005,0.109,0.262,0.072,0.110,0.008,0.139,0.068,0.002,0.501,0.466,0.501,0.545,0.038,0.345,0.449,0.995,0.151,0.114,0.210,0.046,1.227,0.210,2.361,0.798,0.076,0.075,0.596,1.582,1.516,0.647,0.404,0.567,1.067,1.321,21.563,0.603,1.510,1.377,0.575,17.272,7.769,9.905,1.641,0.749,8.094,-0.101,0.000,0.003,0.000
2010-01-31,Consumer Discretionary,606,-0.000832,-0.025356,-0.043,11.446,0.635,0.797,7.154,9.105,9.194,1.982,1.982,0.600,5.887,0.000,1.579,0.213,2.14%,0.364,0.396,0.014,0.013,0.012,0.344,0.001,0.052,0.095,0.089,0.132,0.006,0.101,0.084,0.003,0.250,0.731,0.250,0.361,0.260,0.245,0.719,0.494,0.158,0.155,0.046,0.103,0.503,0.528,1.380,0.278,0.080,0.065,0.272,2.260,0.996,0.549,0.218,0.439,0.889,2.435,68.796,0.381,1.721,1.102,1.245,5.232,9.793,10.436,2.653,1.859,5.211,-0.112,0.000,0.014,0.000
2010-01-31,Consumer Staples,173,-0.018075,-0.010126,0.226,17.079,0.545,1.317,7.711,12.994,12.994,13.086,13.067,0.791,7.922,0.161,1.888,0.675,2.50%,0.351,0.409,0.129,0.129,0.101,0.356,0.038,0.078,0.101,0.163,0.259,0.055,0.147,0.164,0.118,0.264,0.720,0.266,0.384,0.357,0.255,0.678,0.568,0.173,0.142,0.065,0.144,0.666,0.460,1.370,0.327,0.070,0.059,0.363,2.106,1.060,0.524,0.250,0.429,4.880,7.310,58.972,0.327,1.783,1.051,1.332,6.022,10.156,11.303,3.085,1.995,7.297,-0.065,0.000,0.006,0.000
2010-01-31,Energy,224,-0.021425,-0.045463,-0.184,8.692,0.748,-0.108,5.107,-0.613,-0.613,-1.608,-1.326,1.666,4.941,0.000,1.364,0.201,1.22%,0.345,0.127,-0.041,-0.043,-0.006,0.242,-0.050,0.012,0.136,0.001,0.001,-0.065,0.082,0.001,-0.043,0.304,0.676,0.304,0.341,0.065,0.356,-0.172,0.761,0.257,0.088,0.075,0.032,0.455,0.254,0.642,0.378,0.071,0.066,0.412,0.797,0.969,0.515,0.236,0.408,-0.227,0.412,44.010,0.309,1.469,1.233,0.360,15.576,8.386,5.456,0.973,0.518,4.176,-0.135,0.000,0.000,0.000
2010-01-31,Financials,780,0.049950,0.002950,-0.048,10.454,1.201,0.628,11.275,6.886,6.891,5.007,5.025,1.142,4.883,0.537,0.812,0.336,2.76%,0.301,0.029,0.013,0.016,0.000,0.410,0.022,0.144,0.170,0.131,0.284,0.023,0.013,0.039,0.015,0.414,0.556,0.413,0.658,0.000,0.230,0.906,0.396,0.014,0.059,0.058,0.275,0.506,0.503,4.133,0.719,0.068,0.056,0.098,55.612,8.390,0.894,0.134,0.892,1.452,2.527,258.250,0.957,1.986,1.942,0.060,5.082,0.059,0.092,0.682,0.361,2.622,-0.014,0.000,0.007,0.223
2010-01-31,Health Care,596,-0.000847,0.001810,-0.111,-1.933,0.397,1.029,4.593,-0.726,-0.726,-1.778,-1.701,2.360,4.806,0.000,2.498,0.066,1.86%,0.335,0.278,-0.006,-0.012,0.000,0.392,-0.017,0.026,0.054,0.013,0.042,-0.016,0.046,0.033,-0.068,0.039,0.929,0.049,0.132,0.041,0.195,0.794,0.227,0.055,0.776,0.018,0.216,0.170,0.638,0.000,0.039,0.093,0.071,0.106,4.516,0.593,0.413,0.095,0.233,0.976,2.390,87.170,1.451,2.650,2.253,0.710,3.488,10.061,6.513,1.256,1.020,2.071,-0.073,0.093,0.000,0.000
2010-01-31,Industrials,573,-0.032802,-0.023449,-0.268,13.790,0.651,1.067,7.788,12.318,12.457,9.053,9.037,0.703,6.505,0.021,1.465,0.422,1.79%,0.350,0.276,0.042,0.042,0.046,0.277,0.019,0.056,0.091,0.089,0.131,0.026,0.100,0.088,0.039,0.223,0.762,0.224,0.312,0.239,0.378,0.722,0.433,0.156,0.149,0.051,0.136,0.456,0.494,1.419,0.258,0.075,0.063,0.280,2.587,0.978,0.523,0.186,0.375,1.938,4.009,83.910,0.385,2.048,1.433,1.031,4.995,9.943,6.248,2.237,1.620,4.474,-0.082,0.000,0.000,0.000
2010-01-31,Information Technology,705,-0.029553,-0.080315,-0.065,12.873,0.558,0.801,8.226,4.842,4.963,-1.422,-1.472,1.635,8.907,0.000,1.793,0.031,1.86%,0.302,0.362,-0.024,-0.024,0.000,0.488,-0.020,0.021,0.067,0.028,0.042,-0.019,0.061,0.028,-0.026,0.008,0.989,0.008,0.047,0.078,0.235,0.813,0.334,0.210,0.803,0.026,0.288,0.249,0.764,0.000,0.007,0.087,0.063,0.014,4.450,0.511,0.350,0.031,0.153,-0.586,2.009,78.045,1.249,2.578,2.087,0.773,4.234,7.504,5.893,1.232,1.096,2.240,-0.104,0.113,0.000,0.000
2010-01-31,Materials,185,-0.045540,-0.086832,-0.117,14.388,0.624,1.078,7.491,9.619,10.100,5.212,4.363,0.808,5.913,0.191,1.638,0.176,1.73%,0.305,0.204,0.043,0.043,0.046,0.239,0.018,0.055,0.101,0.064,0.082,0.024,0.093,0.067,0.039,0.334,0.651,0.334,0.370,0.327,0.342,0.588,0.620,0.129,0.124,0.057,0.099,0.552,0.331,2.037,0.477,0.074,0.064,0.364,1.431,1.229,0.564,0.254,0.444,1.915,3.075,79.407,0.370,2.164,1.430,0.887,5.606,9.375,7.136,2.205,1.301,4.306,-0.080,0.002,0.000,0.000
2010-01-31,Utilities,103,-0.038227,-0.046343,-0.100,15.775,0.945,2.149,8.116,13.397,13.397,13.063,12.966,1.100,5.197,0.608,1.092,1.287,4.30%,0.344,0.090,0.090,0.090,0.068,0.244,0.069,0.151,0.243,0.071,0.085,0.101,0.091,0.089,0.070,0.507,0.480,0.505,0.585,0.162,0.324,0.008,0.592,0.081,0.022,0.165,0.104,0.711,0.182,3.830,0.743,0.068,0.059,0.435,1.024,2.438,0.707,0.349,0.563,2.232,2.704,28.941,0.114,1.069,0.818,0.376,11.984,9.112,9.357,1.295,0.596,11.820,-0.048,0.000,0.000,0.000
2010-02-28,Communication Services,52,0.013292,-0.004958,-0.100,7.299,0.491,0.588,6.660,8.202,8.284,4.704,6.763,1.190,3.883,0.271,1.999,0.109,6.91%,0.356,0.281,0.027,0.008,0.065,0.584,0.006,0.094,0.251,0.065,0.109,0.013,0.137,0.062,0.026,0.522,0.473,0.483,0.490,0.033,0.297,0.400,0.899,0.141,0.121,0.200,0.036,1.151,0.220,3.043,0.819,0.076,0.076,0.557,1.565,1.413,0.629,0.391,0.561,1.319,1.319,24.890,0.600,1.545,1.432,0.520,18.482,7.761,9.714,1.566,0.688,5.735,-0.108,0.000,0.002,0.000
2010-02-28,Consumer Discretionary,604,0.059640,0.058446,-0.001,11.719,0.654,1.094,7.777,12.722,12.958,11.508,11.420,0.646,6.394,0.000,1.645,0.252,2.00%,0.360,0.398,0.052,0.051,0.051,0.350,0.017,0.055,0.097,0.093,0.139,0.026,0.106,0.091,0.050,0.258,0.725,0.257,0.347,0.243,0.233,0.731,0.523,0.179,0.182,0.057,0.077,0.540,0.523,1.196,0.277,0.079,0.066,0.299,2.267,0.986,0.536,0.214,0.416,1.747,2.706,68.455,0.463,1.770,1.136,1.248,5.166,10.221,10.673,2.678,1.851,5.150,-0.095,0.000,0.014,0.000
2010-02-28,Consumer Staples,174,0.041680,0.028767,0.284,17.374,0.531,1.330,7.887,14.321,14.387,14.005,14.057,0.837,8.136,0.149,1.926,0.892,2.35%,0.348,0.401,0.138,0.138,0.113,0.348,0.043,0.076,0.108,0.161,0.256,0.060,0.145,0.166,0.131,0.244,0.728,0.243,0.348,0.338,0.265,0.706,0.572,0.176,0.144,0.072,0.110,0.707,0.454,1.382,0.304,0.074,0.062,0.365,2.073,0.981,0.511,0.235,0.392,5.393,7.996,54.945,0.353,1.817,1.132,1.368,6.473,10.919,11.718,3.095,1.994,7.251,-0.061,0.000,0.006,0.000
2010-02-28,Energy,226,0.043262,0.029762,-0.094,9.396,0.702,-0.123,7.715,-1.337,-1.337,-1.449,-1.449,1.833,5.573,0.000,1.468,0.075,1.14%,0.324,0.123,-0.023,-0.024,0.000,0.289,-0.037,0.005,0.152,0.001,0.003,-0.047,0.079,0.002,-0.025,0.282,0.694,0.284,0.312,0.066,0.391,0.063,0.775,0.185,0.097,0.114,0.022,0.645,0.270,1.091,0.333,0.075,0.069,0.405,0.760,0.883,0.515,0.226,0.384,-0.016,0.110,54.339,0.364,1.546,1.232,0.346,13.761,6.415,5.063,0.795,0.482,4.099,-0.117,0.000,0.000,0.000
2010-02-28,Financials,779,0.021980,0.033850,-0.009,10.855,1.217,1.029,10.569,8.610,8.647,7.814,7.823,1.155,6.165,0.364,0.845,0.372,2.54%,0.297,0.030,0.023,0.027,0.000,0.401,0.039,0.153,0.188,0.140,0.277,0.054,0.014,0.047,0.028,0.373,0.570,0.371,0.626,0.000,0.253,0.899,0.448,0.011,0.067,0.075,0.295,0.497,0.475,3.510,0.614,0.066,0.053,0.080,56.730,8.464,0.895,0.119,0.894,3.019,4.124,264.089,0.858,2.060,1.854,0.061,5.137,0.060,0.093,0.687,0.391,2.748,-0.009,0.000,0.005,0.233
2010-02-28,Health Care,594,0.024094,0.007212,-0.049,-2.046,0.402,1.159,5.746,2.984,3.076,-0.786,-0.663,2.298,4.759,0.000,2.487,0.173,1.78%,0.331,0.287,0.014,0.008,0.001,0.431,0.004,0.035,0.066,0.029,0.052,0.011,0.068,0.040,0.005,0.020,0.952,0.028,0.103,0.042,0.195,0.805,0.215,0.080,0.801,0.037,0.193,0.250,0.638,0.000,0.023,0.086,0.067,0.056,4.554,0.559,0.397,0.066,0.179,1.670,2.956,88.506,1.461,2.705,2.373,0.694,3.471,10.362,6.472,1.194,0.998,2.000,-0.069,0.092,0.000,0.000
2010-02-28,Industrials,571,0.039951,0.049496,-0.082,14.379,0.655,1.332,8.964,13.842,13.897,11.728,11.751,0.745,6.957,0.000,1.551,0.349,1.79%,0.334,0.273,0.052,0.052,0.053,0.281,0.022,0.056,0.094,0.087,0.128,0.031,0.101,0.086,0.046,0.197,0.782,0.202,0.273,0.217,0.367,0.761,0.434,0.171,0.198,0.059,0.114,0.464,0.505,1.349,0.229,0.076,0.064,0.270,2.512,0.921,0.498,0.174,0.354,2.225,3.623,83.198,0.473,2.096,1.540,1.018,5.084,9.871,6.104,2.118,1.544,4.274,-0.074,0.000,0.000,0.000
2010-02-28,Information Technology,702,0.052642,0.044000,-0.033,13.270,0.542,1.057,10.161,9.089,8.926,-0.401,-0.314,1.713,9.392,0.000,1.879,0.077,1.81%,0.287,0.354,0.003,0.003,0.000,0.491,0.000,0.026,0.070,0.033,0.053,0.000,0.066,0.036,0.001,0.002,0.996,0.003,0.027,0.074,0.225,0.821,0.331,0.209,0.904,0.052,0.271,0.250,0.773,0.000,0.003,0.083,0.063,0.006,4.619,0.488,0.345,0.021,0.140,0.671,2.448,81.280,1.388,2.552,2.204,0.764,4.221,7.084,5.787,1.196,1.059,2.140,-0.091,0.112,0.000,0.000
2010-02-28,Materials,187,0.056383,0.057347,0.093,14.698,0.577,1.765,8.390,13.410,13.679,10.801,10.176,0.858,6.428,0.172,1.634,0.274,1.69%,0.323,0.205,0.071,0.070,0.070,0.258,0.028,0.058,0.115,0.064,0.083,0.044,0.102,0.072,0.061,0.301,0.685,0.300,0.341,0.307,0.324,0.656,0.631,0.186,0.173,0.076,0.077,0.621,0.316,1.830,0.407,0.072,0.065,0.363,1.444,1.154,0.544,0.224,0.396,2.512,2.953,82.824,0.519,2.302,1.510,0.866,5.482,8.849,7.022,2.016,1.255,3.766,-0.075,0.002,0.000,0.000
2010-02-28,Utilities,103,-0.002307,-0.009104,0.665,15.067,0.918,2.332,8.729,14.165,14.238,13.744,13.744,1.120,4.934,0.618,1.069,1.664,4.44%,0.340,0.089,0.096,0.095,0.071,0.247,0.071,0.152,0.241,0.068,0.083,0.101,0.086,0.088,0.073,0.503,0.487,0.502,0.578,0.173,0.415,0.082,0.612,0.105,0.020,0.172,0.103,0.704,0.170,3.998,0.729,0.070,0.059,0.444,1.017,2.344,0.699,0.347,0.565,2.314,2.787,38.479,0.122,1.093,0.840,0.357,11.827,8.068,7.044,1.205,0.579,11.322,-0.050,0.000,0.000,0.000
2010-03-31,Communication Services,52,0.113995,0.057139,-0.174,7.869,0.491,0.458,6.478,10.059,10.059,4.478,6.902,1.181,4.497,0.271,2.060,0.175,6.62%,0.356,0.281,0.027,0.008,0.065,0.584,0.006,0.094,0.251,0.065,0.109,0.013,0.137,0.062,0.026,0.522,0.473,0.483,0.490,0.033,0.297,0.391,0.899,0.141,0.121,0.200,0.036,1.151,0.220,3.043,0.819,0.076,0.076,0.557,1.565,1.413,0.629,0.391,0.561,1.319,1.319,24.890,0.624,1.545,1.439,0.520,18.482,7.761,9.714,1.566,0.688,5.735,-0.108,0.000,0.002,0.000
